amba6: amsinckia barbata, tarweed fiddleneck
ambl: amaranthus blitoides, mat amaranth
ambo: amaranthus bouchonii, powell`s amaranth
ambr4: amaranthus bracteosus, powell`s amaranth
ambr6: amorpha brachycarpa, leadplant
ambu2: amorpha bushii, desert false indigo
amca: amaranthus californicus, california amaranth
amca10: ambrosia californica, cuman ragweed
amca6: amorpha canescens, leadplant
amco: ammannia coccinea, valley redstem
amco5: ambrosia coronopifolia, cuman ragweed
amcr3: amorpha croceolanata, desert false indigo
amcu: amelanchier cusickii, cusick`s serviceberry
amcu2: ambrosia cumanensis, cuman ragweed
amcu3: amelanchier cuneata, dwarf serviceberry
amcu4: amorpha curtissii, desert false indigo
amde3: amorpha dewinkeleri, desert false indigo
amde5: amsinckia demissa, common fiddleneck
amde7: amerosedum debile, orpine stonecrop
amdi3: amauria ?dissecta, ragleaf bahia
amec: amsinckia echinata, common fiddleneck
amel2: ambrosia elatior, annual ragweed
amfl: amelanchier florida, saskatoon serviceberry
amfr: amorpha fruticosa, desert false indigo
amgl4: amelanchier glabra, dwarf serviceberry
amgo2: amelanchier goldmanii, utah serviceberry
amin3: amsinckia intermedia, common fiddleneck
amin5: amsinckia intactilis, common fiddleneck
amla6: amerosedum lanceolatum, spearleaf stonecrop
amly: amsinckia lycopsoides, tarweed fiddleneck
amme: amsinckia menziesii, menzies` fiddleneck
ammi2: amsinckia microphylla, common fiddleneck
ammi5: amaranthus microphyllus, california amaranth
ammo3: amelanchier mormonica, utah serviceberry
amna3: amsinckia nana, common fiddleneck
amne3: amphiscirpus nevadensis, nevada bulrush
amoc: amorpha occidentalis, desert false indigo
amor2: amelanchier oreophila, utah serviceberry
ampl: amarella plebeja, autumn dwarf gentian
ampo2: amaranthus powellii, powell`s amaranth
ampo5: amelanchier polycarpa, dwarf serviceberry
amps: ambrosia psilostachya, cuman ragweed
ampu: amaranthus pubescens, prostrate pigweed
ampu5: amelanchier pumila, dwarf serviceberry
amre: amaranthus retroflexus, redroot amaranth
amri2: amsinckia rigida, common fiddleneck
amro: amerorchis rotundifolia, roundleaf orchid
amro3: ammannia robusta, grand redstem
amru2: ambrosia rugelii, cuman ragweed
amsc6: amarella scopulorum, autumn dwarf gentian
amsp5: amellus spinulosus, lacy tansyaster
amst3: amerosedum stenopetalum, wormleaf stonecrop
amst5: amarella strictiflora, autumn dwarf gentian
amsu: amerosedum subalpinum, subalpine stonecrop
amte7: amorpha tennesseensis, desert false indigo
amto3: ambrosia tomentosa, skeletonleaf burr ragweed
amtr: ambrosia trifida, great ragweed
amvi3: amorpha virgata, desert false indigo
amvi4: amaranthus viscidulus, powell`s amaranth
anac6: antennaria acuta, flat-top pussytoes
anac8: antennaria acuminata, rosy pussytoes
anaf: antennaria affinis, pulvinate pussytoes
anai: antennaria aizoides, umber pussytoes
anal3: antennaria alborosea, rosy pussytoes
